# generated 2026-04-15T17:54:59.425457
group,model_a,model_b,row_a,row_b,lex_jaccard,syn_jaccard,tfidf_cos,sheet
Pan,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4),4,5,0.2,0.3333333333333333,0.6754030900297119,scholar
Pan,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4) Reaserch + Extended Thinking,4,6,0.0,0.09090909090909091,0.6364366934371064,scholar
Pan,Claude (Sonnet 4),Claude (Sonnet 4) Reaserch + Extended Thinking,5,6,0.0,0.2,0.5944752150664131,scholar
Mowen,ChatGPT 5 (Auto),ChatGPT 5  (Thinking+Study),3,4,0.2,0.3333333333333333,0.7019450143966814,scholar
Mowen,ChatGPT 5 (Auto),Claude (Sonnet 4),3,5,0.2,0.5,0.774107585970172,scholar
Mowen,ChatGPT 5 (Auto),Claude (Sonnet 4) Reaserch + Extended Thinking,3,6,0.2,0.3333333333333333,0.7107748833446258,scholar
Mowen,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4),4,5,0.2,0.3333333333333333,0.6756756756756758,scholar
Mowen,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4) Reaserch + Extended Thinking,4,6,0.09090909090909091,0.09090909090909091,0.6414304449818098,scholar
Mowen,Claude (Sonnet 4),Claude (Sonnet 4) Reaserch + Extended Thinking,5,6,0.2,0.5,0.7738997760106618,scholar
Fletcher,ChatGPT 5 (Auto),ChatGPT 5  (Thinking+Study),3,4,0.09090909090909091,0.2,0.5621036958439504,scholar
Fletcher,ChatGPT 5 (Auto),Claude (Sonnet 4),3,5,0.09090909090909091,0.09090909090909091,0.646693743732307,scholar
Fletcher,ChatGPT 5 (Auto),Claude (Sonnet 4) Reaserch + Extended Thinking,3,6,0.3333333333333333,0.3333333333333333,0.7975148597668666,scholar
Fletcher,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4),4,5,0.0,0.09090909090909091,0.5375291823076759,scholar
Fletcher,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4) Reaserch + Extended Thinking,4,6,0.0,0.09090909090909091,0.4756081094999553,scholar
Fletcher,Claude (Sonnet 4),Claude (Sonnet 4) Reaserch + Extended Thinking,5,6,0.09090909090909091,0.09090909090909091,0.635540372144721,scholar
Escobar,ChatGPT 5 (Auto),ChatGPT 5  (Thinking+Study),3,4,0.2,0.3333333333333333,0.8043978137140955,scholar
Escobar,ChatGPT 5 (Auto),Claude (Sonnet 4),3,5,0.08333333333333333,0.08333333333333333,0.6091095901015048,scholar
Escobar,ChatGPT 5 (Auto),Claude (Sonnet 4) Reaserch + Extended Thinking,3,6,0.2,0.2,0.6618876325292973,scholar
Escobar,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4),4,5,0.0,0.0,0.5684477699251419,scholar
Escobar,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4) Reaserch + Extended Thinking,4,6,0.0,0.09090909090909091,0.5795378640469799,scholar
Escobar,Claude (Sonnet 4),Claude (Sonnet 4) Reaserch + Extended Thinking,5,6,0.08333333333333333,0.08333333333333333,0.5896245778943944,scholar
Crompton,ChatGPT 5 (Auto),ChatGPT 5  (Thinking+Study),3,4,0.09090909090909091,0.09090909090909091,0.6836977449314972,scholar
Crompton,ChatGPT 5 (Auto),Claude (Sonnet 4),3,5,0.09090909090909091,0.2,0.6274863048735096,scholar
Crompton,ChatGPT 5 (Auto),Claude (Sonnet 4) Reaserch + Extended Thinking,3,6,0.09090909090909091,0.2,0.6667337424960614,scholar
Crompton,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4),4,5,0.2,0.2,0.7019450143966814,scholar
Crompton,ChatGPT 5  (Thinking+Study),Claude (Sonnet 4) Reaserch + Extended Thinking,4,6,0.09090909090909091,0.09090909090909091,0.6673937804275012,scholar
Crompton,Claude (Sonnet 4),Claude (Sonnet 4) Reaserch + Extended Thinking,5,6,0.3333333333333333,0.5,0.8661072394003818,scholar
